01# Relevant columns are: 
02# 
03# 4. R_proj (kpc)
04# 5. PA (deg east of north) (only populated for clusters with a velocity, for now)
05# 15. M31-centric velocity  (km/s)  (not all clusters)
06# 16. error  (km/s)
07# 18. Classification (Substructure, Non-substructure, Ambiguous)
08# 
09# For the classification, “ambiguous” means could be either “substructure” or “non-substructure”. 
10#
11# Name   RA   Dec   R_proj   PA   zeta_MP   zeta_MP   M_V   Source   r_h   Source   (V-I)_0   Source   V_helio   err   V_M31   err   Source   Classification 
H1         00:26:47.8  +39:44:46.2  46.3  244.6  0.91  0.70  -8.70  H14  3.5  T12  0.88  H14  -245  7  61  8  V14  Non-substructure 
PAndAS-17  00:26:52.2  +38:44:58.1  53.9  231.6  0.67  0.79  -8.17  H14  3.3  H14  1.14  H14  -260  1  45  3  UD  Non-substructure 
H2         00:28:03.2  +40:02:55.6  41.6  247.5  0.97  0.76  -7.50  H14  4.0  H14  0.91  H14  -519  16  -213  16  V14  Substructure 
PAndAS-18  00:28:23.3  +39:55:04.9  41.6  244.8  0.95  0.68  -5.35  H14  23.0  H14  0.94  H14  -551  18  -245  18  V14  Substructure 
HEC2       00:28:31.5  +37:31:23.5  63.5  217.4  0.37  0.58  -5.60  H14  12.4  H14  0.96  H14  -341  9  -39  9  V14  Non-substructure 
H3         00:29:30.2  +41:50:31.9  34.7  284.1  0.57  0.78  -6.52  H14  4.3  H14  1.01  H14  -86  9  222  9  V14  Non-substructure 
H4         00:29:45.0  +41:13:09.4  33.4  269.9  0.71  0.88  -7.82  H14  4.0  T12  0.93  H14  -368  8  -61  9  V14  Non-substructure 
PAndAS-19  00:30:12.2  +39:50:59.3  37.9  240.2  0.50  0.67  -4.73  H14  6.3  H14  0.91  H14  -544  6  -239  7  V14  Substructure 
H5         00:30:27.3  +41:36:19.5  31.8  279.3  0.68  0.81  -8.44  H14  9.1  T12  0.85  H14  -392  12  -85  12  V14  Non-substructure 
B514       00:31:09.8  +37:54:00.1  55.2  214.4  0.03  0.46  -8.91  H14  3.5  T12  0.95  H14  -471  8    -170  9   V14  Ambiguous 
PAndAS-21  00:31:27.5  +39:32:21.8  37.7  232.1  0.46  0.54  -7.06  H14  2.9  H14  0.87  H14  -600  7  -296  8  V14  Substructure 
H7         00:31:54.6  +40:06:47.8  32.2  241.5  0.49  0.57  -7.17  H14  10.5  H14  0.92  H14  -426  23  -122  23  V14  Substructure 
PAndAS-22  00:32:08.4  +40:37:31.6  28.7  253.0  0.57  0.58  -6.18  H14  6.2  H14  1.06  H14  -437  1  -132  3  V14?  Substructure 
G001       00:32:46.5  +39:34:40.6  34.7  229.1  0.05  0.14  -10.79  H14  3.2  B07  0.95  H14  -332  3    -29  4    UD  Substructure 
PAndAS-23  00:33:14.1  +39:35:15.9  33.7  227.9  0.03  0.03  -5.02  H14  5.5  H14  1.17  H14  -476  5  -173  6  V14  Substructure 
G002       00:33:33.8  +39:31:19.0  33.8  225.7  0.01  0.01  -8.92  H14  3.2  B07  0.87  H14  -313  17  -10  17  UD  Ambiguous 
H8         00:34:15.4  +39:52:53.2  29.1  229.9  0.10  0.16  -5.71  H14  11.8  H14  1.03  H14  -463  3  -160  4  V14?  Substructure 
PAndAS-27  00:35:13.5  +45:10:37.9  56.6  341.3  0.64  0.86  -7.69  H14  4.1  H14  0.93  H14  -46  8  263  9  V14  Non-substructure 
H10        00:35:59.7  +35:41:03.5  78.4  193.8  0.74  0.83  -8.86  H14  5.1  T12  0.95  H14  -358  2  -63  4  UD  Ambiguous 
H11        00:37:28.0  +44:11:26.5  42.1  342.1  0.35  0.52  -7.88  H14  3.0  H14  0.93  H14  -213  7  94  8  V14  Non-substructure 
H12        00:38:03.9  +37:44:00.2  49.9  194.7  0.30  0.45  -8.19  H14  2.9  H14  0.88  H14  -396  10  -98  10  V14  Non-substructure 
HEC6       00:38:35.5  +44:16:51.4  42.5  346.2  0.58  0.50  -5.92  H14  26.7  H14  0.94  H14  -132  12  174  12  V14  Non-substructure 
H15        00:40:13.2  +35:52:36.7  74.0  185.4  0.24  0.27  -6.60  H14  10.3  H14  0.83  H14  -367  10  -74  10  V14  Ambiguous 
H17        00:42:23.7  +37:14:34.7  55.0  181.0  0.07  0.08  -7.23  H14  2.4  H14  0.96  H14  -246  16  49  16  V14  Ambiguous 
H18        00:43:36.1  +44:58:59.3  50.8  2.4  0.59  0.58  -8.09  H14  3.0  H14  0.90  H14  -206  21  99  21  V14  Non-substructure 
H19        00:44:14.9  +38:25:42.2  39.0  174.1  0.19  0.11  -7.29  H14  3.8  H14  0.92  H14  -272  18  24  18  V14  Ambiguous 
PAndAS-36  00:44:45.6  +43:26:34.8  30.1  9.6  0.25  0.31  -7.30  H14  4.5  H14  0.94  H14  -399  7  -96  8  V14  Ambiguous 
G339       00:47:50.2  +43:09:16.5  28.8  26.2  0.07  0.02  -7.58  H14  3.9  B07  0.94  H14  -97  6      204  7    V14?  Ambiguous 
PAndAS-37  00:48:26.5  +37:55:42.1  48.1  161.3  0.00  0.01  -7.35  H14  3.4  H14  1.13  H14  -404  15  -111  15  V14  Substructure 
H22        00:49:44.7  +38:18:37.8  44.4  155.0  0.06  0.05  -7.65  H14  3.1  H14  0.93  H14  -311  6  -18  7  V14  Ambiguous 
G353       00:50:18.2  +42:35:44.2  26.4  46.1  0.19  0.15  -7.60  H14  3.7  B07  0.87  H14  -295  26  4  26  UD  Ambiguous 
MGC1       00:50:42.5  +32:54:58.7  116.2  168.6  0.74  0.57  -9.20  M10  6.5  M10  0.89  M10  -355  2  -73  4    UD  Non-substructure 
EXT8       00:53:14.5  +41:33:24.5  27.2  80.8  0.71  0.50  -9.28  H14  3.2  H14  0.79  H14  -194  6   102  7    V14  Non-substructure 
PAndAS-41  00:53:39.6  +42:35:15.0  33.1  56.1  0.32  0.32  -7.07  dTZ15  6.2  dTZ15  0.80  dTZ15  -94  8  203  9  V14  Substructure 
H23        00:54:25.0  +39:42:55.7  37.0  124.0  0.99  0.76  -8.09  H14  2.8  T12  1.01  H14  -373  1  -80  4  UD  Ambiguous 
HEC10      00:54:36.5  +44:58:44.6  58.7  29.3  0.92  0.54  -6.14  H14  22.5  H14  0.97  H14  -98  5  202  6  V14  Non-substructure 
HEC11      00:55:17.4  +38:51:02.0  46.6  134.2  0.40  0.58  -6.65  H14  14.6  H14  0.90  H14  -215  5  76  6  V14  Ambiguous 
H24        00:55:43.9  +42:46:15.9  38.8  57.0  0.28  0.29  -7.10  H14  8.9  T12  0.94  H14  -121  15  176  15  V14  Substructure 
PAndAS-42  00:56:38.0  +39:40:25.9  42.2  120.0  0.40  0.58  -6.59  H14  15.4  H14  1.05  H14  -176  4  116  5  V14  Ambiguous 
PAndAS-43  00:56:38.8  +42:27:17.8  38.9  64.2  0.14  0.34  -5.27  H14  4.8  H14  0.97  H14  -135  6  161  7  V14  Substructure 
PAndAS-44  00:57:55.9  +41:42:57.0  39.4  79.8  0.79  0.49  -7.72  H14  2.2  H14  0.82  H14  -349  11  -55  11  V14  Substructure 
HEC12      00:58:15.4  +38:03:01.3  60.0  135.9  0.05  0.19  -6.16  H14  33.2  T12  0.99  H14  -288  2  0  4  V14  Substructure 
HEC13      00:58:17.1  +37:13:49.8  68.8  142.1  0.04  0.09  -5.54  H14  20.7  H14  0.85  H14  -366  5  -79  6  V14  Substructure 
PAndAS-45  00:58:38.0  +41:57:11.5  41.7  75.7  0.34  0.40  -4.06  H14  8.7  H14  0.96  H14  -135  16  159  16  V14  Substructure 
PAndAS-46  00:58:56.4  +42:27:38.3  44.3  67.1  0.26  0.43  -8.67  H14  3.2  H14  0.85  H14  -132  16  163  16  V14  Substructure 
PAndAS-47  00:59:04.8  +42:22:35.1  44.3  68.7  0.21  0.43  -5.66  H14  2.8  H14  1.14  H14  -359  16  -64  16  V14  Substructure 
H26        00:59:27.5  +37:41:30.9  65.8  136.6  0.06  0.10  -7.40  H14  4.4  H14  0.90  H14  -411  7  -124  8  V14  Ambiguous 
